Domanda;Risposta
qual è il numero massimo di sigarette che si possono fumare senza rischi?;non esiste una soglia di sicurezza sotto la quale il fumo non produce danni, anche perché le conseguenze tendono ad accumularsi nel tempo
come si può smettere di fumare?;cominciare a ridurre il numero di sigarette quotidiane può essere un modo per abituarsi all'idea di smettere, ma deve essere la prima fase di un percorso che porta a zero il numero di sigarette quotidiane.
è meglio scegliere sigarette cosiddette leggere?;il termine leggere (o light, o mild, o low tar) riferito alle sigarette è fuorviante, perché la differenza con quelle normali, in termini di effetti sulla salute, è irrilevante.
fumare pipa e sigaro fa meno male?;se le sigarette leggere non rappresentano una scorciatoia, neppure il sigaro e la pipa sono alternative più sicure, come molti erroneamente credono, anche se portano a inalare il fumo meno profondamente.
cosa si inala con la cosiddetta sigaretta elettronica?;si tratta di sostanze potenzialmente dannose.
la sigaretta elettronica è una alternativa sicura al fumo di tabacco?;sono comunque una potenziale fonte di problemi di salute ma, per quanto riguarda i fumatori, la sigaretta elettronica potrebbe rappresentare un'efficace misura per la riduzione del danno
che cosa sono le sigarette a riscaldamento di tabacco?;sono dispositivi elettronici che, diversamente dalle cosiddette e-cig, le sigarette elettroniche, contengono foglia di tabacco.
che impatto hanno le sigarette a riscaldamento di tabacco sulla salute?;il loro utilizzo crea dipendenza quanto la sigaretta comune mentre è possibile che il loro impatto sia minore per quanto riguarda il fumo passivo.
quali sono gli effetti del fumo passivo?;il fumo passivo è responsabile di almeno una quota dei tumori al polmone nei non fumatori, oltre che di malattie cardiache, asma e altri disturbi meno gravi.
quali sono le conseguenze del fumo in gravidanza?;fumare in gravidanza significa, fra le altre cose, ridurre l'apporto di ossigeno al feto e quindi procurargli dei danni.
come si fa a smettere di fumare?;è possibile rivolgersi al proprio medico di famiglia o a uno dei centri antifumo accreditati, dove si utilizzano metodi per smettere di fumare coerenti con la letteratura scientifica internazionale
che cosa succede a chi smette di fumare?;può capitare di aumentare di peso. l’aumento di peso si può evitare se si presta attenzione a non sostituire la sigaretta con snack ipercalorici, e se si contrasta il desiderio di fumare con un po' di attività fisica.
se ho già sviluppato un tumore, che senso ha smettere?;diversi studi hanno dimostrato che la rinuncia alla sigaretta migliora l'andamento della malattia.
lo stress provoca il cancro?;no. i dati disponibili non mostrano che lo stress possa essere una causa diretta di cancro.
si può curare il cancro con le cellule staminali?;sì, con le cellule staminali si possono finora curare alcuni tipi di tumori del sangue. 
bere bevande molto calde può provocare il cancro?;sì, alcuni studi hanno dimostrato che consumare regolarmente bevande a una temperatura superiore a 60-65°c aumenta il rischio di sviluppare un tumore all’esofago.
è possibile curare il cancro con rimedi omeopatici?;no, l'omeopatia è considerata dalla scienza una pratica senza fondamento.
è vero che i campi elettromagnetici aumentano la probabilità che insorga il cancro?;no, non ci sono attualmente prove scientifiche sufficienti a sostenere un rapporto diretto di causa ed effetto tra l’esposizione a campi elettromagnetici e il cancro.
è vero che i cani sono in grado di diagnosticare i tumori negli esseri umani?;no. i cani possono fiutare alcune molecole prodotte dai tessuti tumorali, ma non è dimostrato a oggi che siano efficaci come strumento di diagnosi. 
l'aloe cura il cancro?;no, a oggi non esistono studi scientifici che dimostrano un ruolo certo dell'aloe vera nella prevenzione o nella cura del cancro
l'uso dei cellulari può causare un tumore al cervello?;no, le prove disponibili non sono sufficienti per affermare che vi sia un nesso, in particolare per i cellulari di nuova generazione.
la chemioterapia fa male?;dipende. la chemioterapia è efficace nell'eliminare le cellule tumorali, ma può danneggiare le cellule sane causando effetti collaterali che nella maggior parte dei casi si possono controllare e contenere.
cos'è il cancro?;il cancro è un insieme di circa  200  malattie  diverse,  caratterizzate  da  un’abnorme  crescita cellulare
il cancro è una malattia ereditaria?;il cancro non si può definire una malattia ereditaria, come la fibrosi cistica, la distrofia muscolare, la talassemia o l'emofilia, in cui un singolo gene difettoso è sufficiente a provocare la malattia e trasmetterla alla prole.
qual'è il meccanismo dei tumori?;nei tumori questo delicato equilibrio, governato dai messaggi chimici inviati da una cellula all'altra e dai geni che si trovano nel dna, è compromesso. la cellula continua a riprodursi senza freni e vengono meno anche i processi con cui le cellule danneggiate vanno incontro a una morte programmata, detta apoptosi.
l'ambiente che ci circonda ha un ruolo nella comparsa dei tumori?;ci sono diversi elementi che possono favorire la comparsa della malattia anche nell'ambiente che ci circonda.
cucinare con pentole con rivestimento antiaderente causa il cancro?;no.pentole e padelle con rivestimento antiaderente, soprattutto quelle più moderne realizzate nel rispetto delle normative vigenti, non sono pericolose per la salute, a patto che vengano utilizzate in modo adeguato.
la pillola anticoncezionale aumenta il rischio di cancro?;dipende dal tipo di cancro. in alcuni casi può aumentare il rischio, in altri ridurlo.
i parabeni sono cancerogeni?;no, il legame fra parabeni e cancro del seno non è dimostrato.
la marijuana può essere utile ai pazienti con tumore?;i cannabinoidi hanno effetti positivi su alcuni sintomi di cui soffrono i pazienti con tumore.
lo zucchero favorisce la crescita dei tumori?;è probabile (e abbastanza sicuro per quel che riguarda il cancro del seno) che una dieta troppo ricca di zuccheri possa favorire la malattia attraverso il mantenimento di un ambiente infiammato attorno al tumore.
cos'è la leucemia?;le cellule che costituiscono la parte corpuscolata del sangue originano da cellule immature. nelle persone colpite da leucemia vi è una proliferazione incontrollata di queste cellule, che interferisce con la crescita e lo sviluppo delle normali cellule del sangue.
quali sono i sintomi della leucemia?;febbre, sudorazioni notturne, stanchezza e affaticamento, mal di testa, dolori ossei e articolari, perdita di peso, pallore, suscettibilità alle infezioni, facilità al sanguinamento oppure ingrossamento della milza e dei linfonodi
come si cura la leucemia?;il trattamento delle leucemie si avvale spesso dell'utilizzo di più terapie in combinazione o in sequenza, con lo scopo di offrire ai pazienti la guarigione definitiva o comunque la migliore qualità di vita possibile.
cos'è il melanoma cutaneo?;il melanoma cutaneo è un tumore che deriva dalla trasformazione tumorale dei melanociti, alcune delle cellule che formano la pelle.
come si cura il melanoma cutaneo?;sono molte le opzioni di trattamento per il melanoma cutaneo. la prima scelta è in genere la chirurgia che spesso riesce a curare definitivamente la malattia in fase iniziale.
cos'è il tumore alle ossa?;un tumore delle ossa è una malattia che può avere origine dalla trasformazione di qualunque cellula di cui è composto un osso. 
come si cura il tumore alle ossa?;insert answer
cos'è il tumore al cervello?;un tumore cerebrale consiste nella crescita anomale di cellule nei tessuti del cervello, che può essere benigna o maligna.
come si cura il tumore al cervello?;la chirurgia rappresenta il trattamento più diffuso per i tumori cerebrali. in alcuni casi l‘intervento è curativo, ovvero è in grado di eliminare definitivamente la malattia.
cos'è il tumore al colon-retto?;il tumore del colon-retto è dovuto alla proliferazione incontrollata delle cellule della mucosa che riveste l'intestino
come si cura il tumore al colon-retto?;la terapia più comune è la chirurgia: in base alla sede e all’estensione del tumore si procederà con un intervento conservativo, demolitivo parziale o, nei casi più gravi, con la totale asportazione del tratto di colon (o del retto) interessato.
cos'è il tumore al fegato?;il tumore del fegato è provocato dalla proliferazione incontrollata di cellule all'interno dell’organo.
quali sono i sintomi del tumore al fegato?;il dolore alla parte superiore dell'addome, che si può irradiare anche alla schiena e alle spalle, l'ingrossamento del ventre, la perdita di peso e di appetito, la nausea, il vomito, la sensazione di sazietà, la stanchezza, l'ittero (ovvero il colore giallo della pelle), la colorazione scura delle urine e la febbre.
cos'è il tumore al pancreas?;il tumore del pancreas si manifesta quando alcune cellule, nella maggior parte dei casi le cellule di tipo duttale, si moltiplicano senza più controllo.
quali sono i sintomi del tumore al pancreas?;possono manifestarsi perdita di peso e di appetito, ittero (colorazione gialla degli occhi e della pelle), dolore nella parte superiore dell'addome o nella schiena, debolezza, nausea o vomito.
cos'è il tumore al polmone?;il tumore del polmone, che si può sviluppare a partire dalle cellule che costituiscono bronchi, bronchioli e alveoli, può formare una massa in grado di ostruire il flusso dell'aria, oppure provocare emorragie polmonari o bronchiali.
quali sono i sintomi del tumore al polmone?;i sintomi più comuni del tumore del polmone sono tosse continua che non passa o addirittura peggiora nel tempo, raucedine, presenza di sangue nel catarro, respiro corto, dolore al petto che aumenta nel caso di un colpo di tosse o un respiro profondo, perdita di peso e di appetito, stanchezza, infezioni respiratorie
cos'è il tumore al rene?;in genere il cancro del rene si origina proprio dalla proliferazione incontrollata di cellule che rivestono l'interno di questi tubuli, anche se talvolta può aver inizio anche da altri tessuti o dalla capsula che riveste esternamente l'organo stesso.
quali sono i sintomi del tumore al rene?;i sintomi classici sono tre: una massa palpabile nell'addome, sangue nelle urine (ematuria) e dolore localizzato a livello lombare.
cos'è il tumore al seno?;è dovuto alla moltiplicazione incontrollata di alcune cellule della ghiandola mammaria che si trasformano in cellule maligne e acquisiscono la capacità di staccarsi dal tessuto che le ha generate per invadere quelli circostanti e, col tempo, anche organi più lontani.
quali sono i sintomi del tumore al seno?;eventuali noduli palpabili o addirittura visibili sono invece in genere segni di una forma tumorale già avanzata.
cos'è il tumore all'utero?;i tratta di un tumore che si può formare nell'utero, l'organo dell'apparato femminile deputato ad accogliere il feto in caso di gravidanza.
quali sono i sintomi del tumore all'utero?;la maggior parte dei tumori dell'endometrio (90 per cento) si manifesta con sanguinamento vaginale anomalo, per esempio dopo la menopausa o in un momento diverso rispetto a quanto previsto con il flusso mestruale normale nelle donne in età fertile.
cos'è il tumore alla prostata?;il tumore della prostata ha origine dalle cellule presenti all'interno di una ghiandola, la prostata, che cominciano a crescere in maniera incontrollata.
quali sono i sintomi del tumore alla prostata?;quando la massa tumorale cresce, dà origine a sintomi urinari: difficoltà a urinare (in particolare a iniziare) o bisogno di urinare spesso, dolore quando si urina, sangue nelle urine o nello sperma, sensazione di non riuscire a urinare in modo completo.
cos'è il tumore allo stomaco?;il tumore dello stomaco (adenocarcinoma gastrico) è provocato da una massa di cellule in crescita incontrollata, originatesi, nel 90 per cento dei casi, dal rivestimento interno dell'organo, la mucosa.
quali sono i sintomi del tumore allo stomaco?;la principale sintomatologia è data da dispepsia, dolore o bruciore di stomaco, difficoltà alla digestione, sensazione di pienezza o gonfiore dopo un piccolo pasto, nausea o vomito (anche ematico), presenza di sangue nelle feci, difficoltà alla deglutizione e importante calo ponderale.
il sole può causare un tumore agli occhi?;i raggi ultravioletti possono provocare in rari casi un carcinoma squamoso della cornea o della congiuntiva, ma più spesso favoriscono la cataratta, una degenerazione del cristallino, che diventa sempre più opaco fino a compromettere la vista e che, in certi casi, può portare anche alla cecità.
il sole può causare un tumore alle labbra?;l’esposizione prolungata al sole è inoltre un fattore di rischio per lo sviluppo di tumori del labbro.
il sole può causare un tumore alla pelle?;un’eccessiva esposizione ai raggi ultravioletti favorisce a breve termine le scottature e a lungo andare la formazione di rughe e cheratosi, malattie croniche della pelle che in rare occasioni possono generare lesioni pretumorali.
come si può prevenire un tumore?;si stima però che il 30-50 per cento dei tumori possa essere prevenuto con comportamenti più salubri, come smettere di fumare, alimentarsi in modo sano ed equilibrato e sottoponendosi con regolarità a visite ed esami di screening.
che cos'è un fattore di rischio?;esistono due diversi tipi di fattori di rischio, quelli modificabili (comportamento e ambiente) e quelli non modificabili (età, sesso, patrimonio genetico).
cosa sono i marcatori tumorali?;i cosiddetti marcatori tumorali fanno parte degli strumenti per determinare il rischio tumorale: si tratta di molecole che, se presenti o assenti nel sangue, permettono di capire se una persona è o no a rischio di sviluppare un determinato tipo di tumore.
che cos'è la chemioterapia?;la chemioterapia consiste nella somministrazione di una o più sostanze capaci di aggredire le cellule che si moltiplicano più rapidamente, quindi in particolare quelle cancerose, durante il processo di replicazione.
quali sono gli effetti collaterali della chemioterapia?;i più comuni effetti collaterali di questi trattamenti (perdita di capelli, anemia e calo delle difese immunitarie, vomito, diarrea e infiammazione o infezione della bocca) che, a volte, preoccupano i pazienti più della malattia stessa.
cos'è la terapia ormonale dei tumori?;la terapia ormonale – chiamata anche ormonoterapia o terapia endocrina – ha l’obiettivo di impedire la produzione di tali ormoni o di bloccarne l’azione di stimolo alla moltiplicazione delle cellule cancerose, la cosiddetta azione proliferativa.
a cosa serve la terapia ormonale dei tumori?;la terapia ormonale può ridurre il rischio di recidiva, ovvero la probabilità che il tumore si ripresenti dopo la conclusione di altri trattamenti (intervento chirurgico, radioterapia e/o chemioterapia) oppure può contribuire a ridurre per un certo periodo i sintomi di una malattia in fase più avanzata.
che cosa sono le terapie cellulari?;utilizzano una preparazione di cellule o tessuti manipolati in laboratorio, in modo che le caratteristiche siano modificate
contro quali tipi di tumore sono dirette?;le terapie cellulari che utilizzano linfociti ingegnerizzati sono state inizialmente sviluppate per la cura dei tumori ematologici, dando risultati nel trattamento di leucemie e linfomi di tipo b, mentre proseguono le sperimentazioni per altri tumori del sangue come la leucemia linfatica cronica e il mieloma multiplo.
cos'è la radioterapia?;la radioterapia è una terapia localizzata, non invasiva, indolore, effettuata per lo più in regime ambulatoriale, in grado di provocare la necrosi ovvero la morte delle cellule del tumore attraverso l’utilizzo di radiazioni di elevata energia chiamate radiazioni ionizzanti.
come agisce la radioterapia?;le radiazioni sono dirette contro la massa tumorale e danneggiano la capacità delle cellule cancerose di moltiplicarsi: il tumore così trattato non è più in grado di crescere e si riduce progressivamente.
che cosa sono le terapie mirate?;le terapie mirate rappresentano uno dei più importanti strumenti della medicina personalizzata, in quanto la cura non è più scelta solo in base alla sede di sviluppo del tumore, ma anche in relazione alle sue caratteristiche molecolari, che possono essere diverse da paziente a paziente.
in che cosa sono diverse dalla chemioterapia tradizionale?;le terapie mirate, a differenza della chemioterapia, vanno a interferire in maniera molto più mirata con una molecola o un processo specifico delle cellule tumorali, non provocando danni alle cellule normali e riducendo così gli effetti collaterali.
cosa sono le metastasi?;la metastasi è il fenomeno con cui le cellule tumorali si spostano dalla zona in cui si sono formate a un’altra parte del corpo.
tutti i tumori possono dare metastasi?;lo sviluppo di metastasi dipende però da molte variabili che vanno dalle caratteristiche genetiche della malattia, al tipo di organo coinvolto fino alla disponibilità o vicinanza di vie per la disseminazione.
è possibile prevenire le metastasi?;purtroppo non esistono sistemi di prevenzione attiva o particolari comportamenti che il paziente con tumore può attuare per evitare che si formino metastasi, a parte il suggerimento di seguire gli stessi stili di vita consigliati per la prevenzione del tumore.
quali sono le terapie contro le metastasi?;a seconda dei casi è possibile ricorrere a terapie sistemiche come la chemioterapia classica, la terapia ormonale, le terapie a bersaglio molecolare o l'immunoterapia.
quali organi sono maggiormente interessati dalle metastasi?;fegato e polmone sono sedi comuni poiché sono molto vascolarizzati, ovvero hanno un gran numero di vasi sanguigni in entrata e in uscita ed è quindi maggiore la probabilità di essere attraversati dalle cellule tumorali circolanti.
perché è difficile eliminare le metastasi?;molte metastasi resistono ai farmaci o ai trattamenti radioterapici. inoltre, spesso le metastasi non sono accessibili o sono disseminate in numerosi punti del corpo.
è possibile stabilire a priori se un tumore darà metastasi?;non è possibile avere la certezza che un tumore darà metastasi.
quali esami permettono di diagnosticare la presenza di metastasi?;in linea di massima gli esami utilizzati per diagnosticare le metastasi sono gli stessi impiegati anche per la diagnosi dei tumori primitivi. anche in questo caso variano a seconda dell'organo che si sta valutando e delle dimensioni delle metastasi.
quali vaccini sono disponibili e approvati?;"alla data di pubblicazione di questo articolo, quattro vaccini anti-covid-19 sono stati finora approvati dall’agenzia europea per i medicinali (ema) per uso d’emergenza nell’unione europea. si tratta del vaccino prodotto da pfizer/biontech (comirnaty; anche chiamato tozinameran o bnt162b2); del vaccino prodotto da moderna (mrna-1273); del vaccino prodotto in collaborazione dalla casa farmaceutica astrazeneca e dall’università di oxford (vaxzevria; anche chiamato azd1222, o covishield in india) e del vaccino prodotto da johnson & johnson/janssen (ad26.cov2.s)."
cosa significa che il vaccino è stato approvato per l’uso d’emergenza?;nel caso del virus sars-cov-2, la ricerca di base è stata avvantaggiata da numerosi studi condotti in precedenza per vaccini contro altri virus.
perché si è potuto procedere tanto velocemente?;le risorse finanziarie hanno permesso di effettuare in parallelo fasi della ricerca che risorse più limitate avrebbero imposto di percorrere una dopo l’altra.
quali sono le tecnologie alla base dei vaccini pfizer/biontech e moderna?;i vaccini prodotti da pfizer/biontech e da moderna sono i più innovativi e utilizzano un filamento sintetico di rna messaggero (mrna), la molecola che nelle cellule trasporta le informazioni per la costruzione delle proteine.
quali sono le tecnologie alla base dei vaccini oxford-astrazeneca e johnson & johnson/janssen?;il vaccino oxford-astrazeneca, così come il vaccino johnson & johnson/janssen, contiene vettori virali modificati che trasportano alcuni geni modificati del coronavirus utili a produrre l’antigene necessario ad addestrare il sistema immunitario.
qual è il livello di efficacia dei vaccini pfizer e moderna?;i vaccini pfizer e moderna (vaccini a mrna) hanno un’efficacia sovrapponibile, pari al 95 per cento circa a due settimane dalla seconda dose, ma già dopo la prima dose riducono in modo importante il rischio di ammalarsi.
come si somministrano i vaccini anti-covid-19?;nel caso dei vaccini a mrna attualmente disponibili, sono necessarie due somministrazioni intramuscolo nel braccio a distanza di almeno due settimane l’una dall’altra. il vaccino oxford-astrazeneca segue la stessa modalità di somministrazione, ma la seconda dose deve essere somministrata dopo almeno quattro settimane dalla prima. il vaccino johnson & johnson/janssen, invece, prevede per ora la somministrazione di una sola dose.
quali sono i più comuni effetti collaterali dei vaccini a mrna?;nel caso dei vaccini a mrna gli effetti collaterali più comuni sono dolore, arrossamento e gonfiore nel punto di somministrazione.possono inoltre comparire nausea, febbre, affaticamento, mal di testa, dolori muscolari e articolari.
con quali priorità viene vaccinata la popolazione italiana?;le “raccomandazioni ad interim sui gruppi target della vaccinazione anti-sars-cov-2/covid-19” emesse dal ministero della salute hanno individuato come categorie prioritarie gli operatori sanitari e sociosanitari, il personale e gli ospiti dei presidi residenziali per anziani, gli anziani con più di 80 anni, le persone dai 60 ai 79 anni, la popolazione con almeno una comorbidità cronica (tra i quali i pazienti oncologici) oltre ad altre categorie di popolazioni, tra le quali quelle appartenenti ai servizi essenziali, quali anzitutto gli insegnanti e il personale scolastico, le forze dell’ordine, il personale delle carceri e dei luoghi di comunità, eccetera. è innegabile che sia la vaccinazione dei più anziani sia quella dei soggetti a rischio (tra i quali i pazienti oncologici) stia procedendo a rilento e in modo molto variabile a seconda delle regioni. nelle prossime settimane sono però attese forniture ingenti di tutti i tipi di vaccini che dovrebbero permettere di accelerare le somministrazioni.
quali rischi corrono i malati di cancro se si ammalano di covid-19?;i malati di cancro, presi nel loro insieme, sono una delle categorie di individui a maggior rischio di sviluppare forme gravi di covid-19. 
i malati di cancro devono/possono vaccinarsi?; i malati di cancro devono vaccinarsi appena sarà possibile perché i rischi che corrono in caso di infezione sono molto elevati
mi hanno appena diagnosticato un tumore. quando mi devo vaccinare?;secondo gli esperti, è meglio vaccinarsi prima di iniziare le cure antitumorali, ma se queste sono già cominciate non sono una controindicazione alla vaccinazione. 
tra i diversi tipi di vaccino disponibili, ce n’è uno particolarmente consigliato per i pazienti oncologici?;tutti i vaccini si sono dimostrati efficaci, ma i vaccini a mrna sono più indicati per i pazienti con un sistema immunitario compromesso o in chemioterapia e sono considerati particolarmente efficaci e sicuri.
che cosa sono i linfonodi?;i linfonodi, chiamati anche ghiandole linfatiche, sono piccoli organi tondeggianti o a forma di fagiolo, situati lungo le vie linfatiche.
perché i linfonodi sono importanti nella diagnosi di cancro?;i linfonodi possono tuttavia essere importanti nella diagnosi di cancro perché il loro ingrossamento può, seppur di rado, essere il primo segno di esordio della malattia oppure il segno che essa si sta diffondendo.
come si manifesta il coinvolgimento dei linfonodi nei tumori?;il coinvolgimento dei linfonodi nelle patologie tumorali si manifesta con un aumento di volume che solo il medico può distinguere da quello che si può verificare in seguito a malattie infettive, infiammatorie o autoimmuni, casi che peraltro, come si è detto, sono molto più frequenti.
quando i linfonodi si ingrossano bisogna farli vedere subito al medico?;è meglio però chiedere il parere del medico quando il rigonfiamento persiste per alcune settimane o aumenta col passare del tempo.
se al tatto i linfonodi fanno male è un segnale di allarme?;i linfonodi ingrossati che fanno anche male, di per sé o quando vengono palpati, sono tipicamente segno di un processo infiammatorio dovuto a un'infezione. 
quando occorre esaminare meglio i linfonodi con una biopsia?;l'esame è sempre necessario quando il malato ha anche febbre, ha perso peso, soffre di sudorazioni e ha linfonodi non dolenti che aumentano di volume con una distribuzione non simmetrica rispetto al corpo.
che cosa si intende per pacchetto linfonodale?;si parla di pacchetti linfonodali quando un gruppo di linfonodi si aggregano tra di loro e toccandoli sembra che formino un'unica massa.
perché a volte il chirurgo oltre a un tumore toglie anche dei linfonodi?;l'intervento di asportazione dei linfonodi, chiamato linfadenectomia, può essere più o meno radicale e serve soprattutto per sapere se le cellule tumorali hanno invaso il circolo linfatico.
quali possono essere le conseguenze di un intervento di linfadenectomia?;poiché il sistema linfatico, oltre a ospitare le difese immunitarie, drena i liquidi che si accumulano nei tessuti, la prima conseguenza dell'asportazione chirurgica dei linfonodi è il rigonfiamento della parte del corpo che si trova più a valle, tipicamente gli arti quando si asportano chirurgicamente o si sottopongono a radioterapia i linfonodi inguinali o ascellari.
come si possono prevenire le formazioni di linfodema?;occorre poi prendere tutte le precauzioni possibili per evitare infezioni in questa sede, prestando particolare attenzione alla pulizia e alla cura della pelle e delle unghie e cercando di evitare punture (comprese quelle per i prelievi), scottature o traumi.
che cos’è il linfonodo sentinella?;secondo la teoria del linfonodo sentinella, nel caso in cui ci siano cellule che si staccano da un tumore per andare a formare metastasi passando attraverso le vie linfatiche, sarà questo linfonodo della stazione linfonodale immediatamente a valle del tumore il primo a essere colonizzato.
che cos'è l'esame del midollo osseo?;l'esame consiste nel prelievo di materiale fluido dall'interno della cavità delle ossa.
che cos'è l'agoaspirato del nodulo mammario?;l'agoaspirato di un nodulo mammario consente di prelevare un campione di cellule da studiare al microscopio (esame citologico) per discriminare se un nodulo al seno sia di natura benigna (per esempio una cisti o un fibroadenoma) o se si tratti di un tumore maligno.
che cos'è l'agoaspirato di un nodulo tiroideo?;l'agoaspirato di un nodulo tiroideo è una procedura diagnostica mini-invasiva, utilizzata per confermare o escludere la natura maligna di un nodulo.
che cos'è l'angiografia?;l'angiografia è un esame radiologico che permette di esaminare i vasi sanguigni tramite l'iniezione endovena di un mezzo di contrasto, cioè di una sostanza a base di iodio che appare opaca (come le ossa) alla radiografia.
che cos'è la biopsia cutanea?;la biopsia cutanea consiste nel prelievo della porzione di pelle interessata da una lesione e di cui si vuole accertare la natura.
che cos'è la biopsia del midollo osseo?;l'ago preleva un piccolo cilindro di tessuto osseo che verrà successivamente sottoposto all'esame al microscopio per verificare se sono presenti anomalie delle cellule contenute nel midollo osseo.
che cos'è la biopsia della prostata?;l’esame consiste nel prelievo di piccoli frammenti (frustoli) della ghiandola prostatica da sottoporre ad analisi di laboratorio.
che cos’è la biopsia epatica;l’esame consiste nel prelievo di tessuto epatico da sottoporre ad analisi di laboratorio.
che cos'è biopsia stereotassica cerebrale?;la biopsia stereotassica cerebrale consiste nel prelievo di frammenti di tessuto patologico dal cervello, da sottoporre successivamente all'analisi al microscopio.
che cos'è la broncoscopia?;la broncoscopia è un esame che serve a valutare lo stato dei bronchi ed eventualmente effettuare lavaggi dei rami bronchiali esplorati o biopsie, prelevando campioni di muco o di tessuto da esaminare
che cos'è lo studio del campo visivo?;lo studio del campo visivo è un esame importante sia in ambito oculistico, per esempio per la diagnosi del glaucoma e per monitorarne la progressione, sia in ambito neurologico, per rilevare eventuali danni alle vie ottiche (tra cui il nervo ottico) e alla corteccia visiva causati da patologie neurologiche o ischemiche, traumi e tumori.
che cos'è la cistoscopia;la cistoscopia è un esame endoscopico, eseguito a livello ambulatoriale, che permette di visualizzare le pareti interne della vescica e dell'uretra (il condotto che collega la vescica con l'esterno).
che cos’è la colonscopia;la colonscopia è un esame endoscopico con cui è possibile osservare la superficie interna del colon e del retto e di conseguenza si utilizza per la diagnosi di malattie infiammatorie croniche, diverticoli, polipi e tumori maligni.
che cos'è la colposcopia?;la colposcopia si usa soprattutto per studiare eventuali anomalie delle cellule del collo dell'utero emerse con il pap test. serve anche a indagare la causa di dolori pelvici o di sanguinamenti dalla vagina, soprattutto dopo i rapporti sessuali.
che cos’è l’ecografia addominale;l’ecografia addominale è un esame di diagnostica per immagini che permette di studiare forma, dimensioni, struttura ed eventuali alterazioni di organi, tessuti e vasi sanguigni presenti nell’addome.
